time;eth_supply
25/03/2018;98345258,62
26/03/2018;98365595,62
27/03/2018;98385763,87
28/03/2018;98406017,62
29/03/2018;98426308,5
30/03/2018;98446695,75
31/03/2018;98467065,37
01/04/2018;98487185,25
02/04/2018;98507563,87
03/04/2018;98527858,87
04/04/2018;98548068
05/04/2018;98568572,62
06/04/2018;98588915,62
07/04/2018;98609085,37
08/04/2018;98629356,75
09/04/2018;98649561
10/04/2018;98670001,87
11/04/2018;98690147,25
12/04/2018;98710246,87
13/04/2018;98730766,5
14/04/2018;98751048
15/04/2018;98771343
16/04/2018;98791818,37
17/04/2018;98812090,12
18/04/2018;98832228,75
19/04/2018;98852761,5
20/04/2018;98872989,37
21/04/2018;98893416
22/04/2018;98913759,37
23/04/2018;98934115,5
24/04/2018;98954361,37
25/04/2018;98974825,87
26/04/2018;98995504,5
27/04/2018;99015747,37
28/04/2018;99035892,75
29/04/2018;99056496
30/04/2018;99076911
01/05/2018;99097220,25
02/05/2018;99117939,75
03/05/2018;99138415,12
04/05/2018;99158862,75
05/05/2018;99179440,87
06/05/2018;99199935
07/05/2018;99220529,62
08/05/2018;99240780,37
09/05/2018;99261177,37
10/05/2018;99281506,12
11/05/2018;99302035,87
12/05/2018;99322515,37
13/05/2018;99342834,37
14/05/2018;99363091,5
15/05/2018;99383525,25
16/05/2018;99403824,37
17/05/2018;99424335,75
18/05/2018;99444882,37
19/05/2018;99465439,12
20/05/2018;99485950,5
21/05/2018;99506518,12
22/05/2018;99526900,5
23/05/2018;99547636,5
24/05/2018;99567844,12
25/05/2018;99588345
26/05/2018;99608919,75
27/05/2018;99629204,62
28/05/2018;99649737,75
29/05/2018;99670242
30/05/2018;99690769,5
31/05/2018;99711364,12
01/06/2018;99731779,87
02/06/2018;99752340
03/06/2018;99772678,5
04/06/2018;99793329,75
05/06/2018;99813529,87
06/06/2018;99834005,25
07/06/2018;99854652
08/06/2018;99875194,5
09/06/2018;99895849,12
10/06/2018;99916162,12
11/06/2018;99936820,5
12/06/2018;99957272,25
13/06/2018;99977673
14/06/2018;99998039,25
15/06/2018;100018439,6
16/06/2018;100038898,9
17/06/2018;100059213
18/06/2018;100079721,7
19/06/2018;100100075,6
20/06/2018;100120541,2
21/06/2018;100140886,9
22/06/2018;100161408,4
23/06/2018;100181943
24/06/2018;100202190,7
25/06/2018;100222583,2
26/06/2018;100243087,9
27/06/2018;100263552,7
28/06/2018;100283813,2
29/06/2018;100304064,4
30/06/2018;100324582,9
01/07/2018;100344891,7
02/07/2018;100365443,2
03/07/2018;100385811,4
04/07/2018;100406163,7
05/07/2018;100426461,4
06/07/2018;100446767,2
07/07/2018;100467165,7
08/07/2018;100487445,7
09/07/2018;100507973,2
10/07/2018;100528213,5
11/07/2018;100548774,4
12/07/2018;100569186
13/07/2018;100589384,2
14/07/2018;100609740,4
15/07/2018;100630258,5
16/07/2018;100650526,5
17/07/2018;100671144,7
18/07/2018;100691352
19/07/2018;100711663,1
20/07/2018;100731742,5
21/07/2018;100752210,4
22/07/2018;100772868
23/07/2018;100793191,1
24/07/2018;100813632,4
25/07/2018;100834279,5
26/07/2018;100854592,1
27/07/2018;100874996,2
